name,adset_name,campaign_name,event_date,sum,revenue
,,DPA_App_AFBigSaleBuyers_Partywear_Pur,2024-01-27 00:00:00,78114.6,347288.13214276400
,,DPA_gt-All_t-EB0AppA2C_ds-Lockdown,2024-02-02 00:00:00,80751.72,237307.31969209300
,,BI_gt-All_t-AAA_ds-Lockdown_Duplicate,2024-01-30 00:00:00,12094.31,36890.29487785260
,,NDPA_NS_ASC_80%Exis_Obj_Pur Campaign,2024-02-02 00:00:00,203379.24,398077.7060708060
,,NDPA_NS_ASC_100%New_Obj_Pur,2024-01-28 00:00:00,102443.75,308571.31548454500
,,DPA_AppBBSBuyers_BlackFriday_Pur_Andr,2024-02-01 00:00:00,152224.67,99438.18479449260
,,DPA_gt-M_t-AppA2C_ds-Lockdown_D_CBO,2024-02-02 00:00:00,80643.34,321989.11040101600
,,DPA_gt-All_t-AppCABuyersList_ds-Lockdown_Duplicate_BidCap,2024-01-28 00:00:00,306512.11,513366.60941602600
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown_BidCap_3,2024-01-28 00:00:00,222540.19,1020702.5688285600
,,NDPA_NS_LABBSBuyers_Clearance_Pur,2024-01-30 00:00:00,102092.4,211993.9656309110
,,NDPA_NS_LA_NikePumaAdidasBuyerL90D_Pur,2024-02-02 00:00:00,50534.92,50017.04044055600
,,DPA_gt-All_t-AppCrosssellTraffic_ds-Lockdown,2024-01-28 00:00:00,10282.1,37639.44958826630
,,NDPA_NS_Buyers_Lapsed_M_18-65_OBJ-VC_Duplicate,2024-02-02 00:00:00,9981.67,10928.037773288200
,,NDPA_NS_LAInstallednotPurchsed_15D_Pur,2024-01-28 00:00:00,121666.55,479343.1343785360
,,NDPA_NS_LAInstallednotPurchsed_15D_Pur,2024-01-27 00:00:00,117577.39,584992.5286211630
,,DPA_AppUpSellFootwear_Pur,2024-01-27 00:00:00,14244.81,57901.7027429887
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown,2024-01-27 00:00:00,595173.22,243078.25024890700
,,NDPA_NS_LABuyers_ROIHunter_Discounted Bestsellers_Pur,2024-01-27 00:00:00,49015.55,156706.48887038200
,,DPA_AppUpSell_Promoted_Pur,2024-01-30 00:00:00,252470.67,923639.477136173
,,NDPA_NS_Buyer_Lookalike_M_0-5_OBJ-Pur_Duplicate,2024-02-01 00:00:00,20023.11,85828.11502101340
,,DPA_gt-All_t-AppCABuyersList_ds-Lockdown_Duplicate_BidCap,2024-01-27 00:00:00,290525.84,165732.34999537000
,,NDPA_NS_LAWinterwearBuyer_Pur,2024-01-31 00:00:00,100552.62,263309.46601254000
,,DPA_gt-All_t-AppUpsell_ds-Lockdown,2024-01-28 00:00:00,307416.28,887052.7255935090
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown,2024-02-01 00:00:00,618314.34,690513.9151162230
,,NDPA_NS_LABuyers_ROI_HunterF_18-65_OBJ-Pur,2024-01-30 00:00:00,20157.6,37437.35960775710
,,NDPA_gt-All_t-LA0RRLAudience_ds-Lockdown,2024-01-31 00:00:00,10031.26,24335.821116939400
,,DPA_AppBBSBuyers_BlackFriday_Pur_Andr,2024-01-31 00:00:00,120271.73,520041.37414902300
,,NDPA_NS_LABuyers_ROI_HunterF_18-65_OBJ-Pur,2024-01-27 00:00:00,19345.84,92636.84370308900
,,DPA_gt-All_t-AppCrosssellTraffic_ds-Lockdown,2024-01-31 00:00:00,10029.06,33445.84469783710
,,DPA_APPAFInstalled_notactive_And30D,2024-01-30 00:00:00,50755.58,112034.86141527400
,,DPA_gt-All_t-EB0AppVisitorTraffic_ds-Lockdown_BidCap,2024-01-29 00:00:00,10166.24,15521.943029455500
,,DPA_gt-All_t-EB0AppA2C_ds-Lockdown,2024-01-28 00:00:00,82130.58,414193.13858087900
,,DPA_AppBBSBuyers_BlackFriday_Pur_Andr,2024-01-28 00:00:00,153262.42,773573.3824648420
,,NDPA_NS_ASC_80%Exis_Obj_Pur Campaign,2024-01-29 00:00:00,152996.14,729342.7123092290
,,DPA_AppTrendsBrand_Pur,2024-02-03 00:00:00,115607.66,473331.941144816
,,DPA_APP_AFRecent_Inactive_HLTV_Android,2024-02-01 00:00:00,101593.58,190316.628864463
,,NDPA_NS_LABuyers_ROIHunter_Discounted Bestsellers_Pur,2024-01-30 00:00:00,50300.35,213555.49854562600
,,NDPA_NS_LAWinterwearBuyer_Pur,2024-01-28 00:00:00,133111.36,302724.1484928890
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown_BidCap_2_LC_iOS,2024-02-03 00:00:00,19543.05,36704.0326476775
,,DPA_AppTrendsBrand_Pur,2024-02-02 00:00:00,121657.7,474129.08561158700
,,BI_gt-All_t-AAA_ds-Lockdown_Duplicate,2024-01-31 00:00:00,12009.7,8222.791363402210
